iter	RMSE
0	1655.039107
1	1606.100225
2	1562.007811
3	1518.741281
4	1480.294722
5	1443.871156
6	1409.29403
7	1378.170913
8	1350.911633
9	1326.259338
10	1302.824713
11	1280.681776
12	1261.268587
13	1242.935895
14	1229.698189
15	1215.405529
16	1201.065634
17	1188.879374
18	1177.221099
19	1167.247867
20	1158.433741
21	1149.803886
22	1142.396615
23	1135.24693
24	1128.949206
25	1123.363091
26	1118.535434
27	1113.579607
28	1109.571311
29	1106.468354
30	1103.17506
31	1099.929994
32	1096.877321
33	1094.294025
34	1092.101481
35	1089.836368
36	1087.97677
37	1086.227835
38	1084.418512
39	1083.156918
40	1081.695403
41	1080.54949
42	1079.289506
43	1078.3666
44	1077.412036
45	1076.343773
46	1075.520807
47	1074.459577
48	1073.553772
49	1072.761587
50	1072.137412
51	1071.594594
52	1071.100758
53	1070.693181
54	1069.987113
55	1069.530019
56	1068.886793
57	1068.446491
58	1068.117537
59	1067.185672
60	1066.822927
61	1066.394943
62	1065.939344
63	1065.591398
64	1065.124256
65	1064.863022
66	1064.444434
67	1063.80258
68	1063.684295
69	1063.287911
70	1062.860321
71	1062.516459
72	1062.263889
73	1061.946419
74	1061.19129
75	1060.896584
76	1060.609461
77	1060.085951
78	1059.715342
79	1059.306546
80	1059.111552
81	1058.937221
82	1058.556947
83	1058.258248
84	1058.104879
85	1057.999954
86	1057.451635
87	1057.089441
88	1056.682112
89	1056.47209
90	1056.170024
91	1055.636387
92	1055.106315
93	1054.876938
94	1054.697822
95	1054.479272
96	1054.216948
97	1054.008894
98	1053.803745
99	1053.492416
100	1053.255467
101	1052.925108
102	1052.679321
103	1052.301526
104	1051.9518
105	1051.723112
106	1051.302954
107	1051.067821
108	1050.801258
109	1050.555313
110	1050.266453
111	1050.046686
112	1049.488279
113	1049.28487
114	1048.695108
115	1048.44218
116	1048.162097
117	1047.688211
118	1047.194287
119	1047.084747
120	1046.927506
121	1046.160259
122	1045.79357
123	1045.624738
124	1045.238784
125	1045.014508
126	1044.68016
127	1044.148626
128	1043.824448
129	1043.546019
130	1043.177532
131	1042.808295
132	1042.647442
133	1042.447617
134	1042.077693
135	1041.622019
136	1041.352264
137	1041.085244
138	1040.76004
139	1040.350624
140	1039.979226
141	1039.605791
142	1039.185468
143	1038.88566
144	1038.522934
145	1038.340635
146	1037.983766
147	1037.538352
148	1037.237029
149	1036.739501
150	1036.337199
151	1035.935911
152	1035.699024
153	1035.475929
154	1035.051971
155	1034.814862
156	1034.412759
157	1034.05192
158	1033.830175
159	1033.59861
160	1033.040175
161	1032.788837
162	1032.329796
163	1032.169935
164	1031.935163
165	1031.733307
166	1031.311032
167	1030.582854
168	1030.052167
169	1029.815606
170	1029.520132
171	1029.083693
172	1028.637861
173	1028.023388
174	1027.70513
175	1027.320613
176	1026.910406
177	1026.683648
178	1026.298976
179	1026.146774
180	1025.842563
181	1025.355223
182	1024.939391
183	1024.599063
184	1024.317892
185	1024.008167
186	1023.593508
187	1023.261776
188	1022.990341
189	1022.727026
190	1022.39155
191	1021.751809
192	1021.419485
193	1021.171712
194	1020.950232
195	1020.590866
196	1020.333583
197	1020.010906
198	1019.632928
199	1019.448221
200	1018.846394
201	1018.278198
202	1018.105694
203	1017.763096
204	1017.489426
205	1017.022826
206	1016.493809
207	1016.290333
208	1016.141327
209	1015.984676
210	1015.76613
211	1015.529005
212	1015.087229
213	1014.816132
214	1014.590301
215	1014.16791
216	1013.829759
217	1013.549027
218	1013.287869
219	1012.93323
220	1012.462934
221	1012.242044
222	1011.768926
223	1011.326822
224	1010.908208
225	1010.470939
226	1010.151238
227	1009.886337
228	1009.678698
229	1009.370978
230	1009.112357
231	1008.927004
232	1008.354751
233	1008.177867
234	1007.745491
235	1007.5649
236	1007.07114
237	1006.639988
238	1006.378793
239	1005.838533
240	1005.546835
241	1005.261831
242	1004.860587
243	1004.677865
244	1004.240697
245	1003.868569
246	1003.483667
247	1003.108496
248	1002.647176
249	1002.329159
250	1002.017012
251	1001.75287
252	1001.37719
253	1001.037132
254	1000.7716
255	1000.625177
256	1000.461
257	1000.161461
258	999.8326953
259	999.4945675
260	999.0986025
261	998.7667338
262	998.5189811
263	998.162344
264	997.9258768
265	997.8217136
266	997.4418524
267	997.2698813
268	996.8864397
269	996.7582136
270	996.4282224
271	996.1433199
272	995.7447495
273	995.3833466
274	995.0110468
275	994.8589791
276	994.7399294
277	994.4182349
278	994.0794724
279	993.8278586
280	993.5292205
281	993.4245883
282	993.3024452
283	993.2192111
284	992.8938427
285	992.6817912
286	992.5058578
287	992.0686165
288	991.6794673
289	991.4907463
290	991.167546
291	990.7826986
292	990.6105317
293	990.4238536
294	990.0574304
295	989.684092
296	989.4135592
297	988.9486022
298	988.6609125
299	988.3567684
300	988.0800417
301	987.732191
302	987.4389773
303	987.1473125
304	986.9024268
305	986.6616447
306	986.2426487
307	985.8383321
308	985.4612925
309	985.2226888
310	984.9712397
311	984.6655104
312	984.279273
313	983.9707722
314	983.5710549
315	983.2594108
316	982.9890967
317	982.6358021
318	982.3470164
319	982.0537909
320	981.6758319
321	981.4430163
322	981.1866484
323	980.7793501
324	980.5690198
325	980.2615103
326	980.1224263
327	979.8146249
328	979.4313963
329	979.3036789
330	978.9266238
331	978.509723
332	978.0043528
333	977.7424105
334	977.5792976
335	977.2283307
336	976.9638701
337	976.5439701
338	976.1690767
339	975.8190471
340	975.5975252
341	975.2540201
342	974.88133
343	974.6212775
344	974.3094151
345	974.0011301
346	973.7482595
347	973.4707371
348	973.1837225
349	972.9034519
350	972.6672654
351	972.5156371
352	972.321027
353	972.0859625
354	971.6275327
355	971.2775531
356	970.9073983
357	970.6434747
358	970.4063909
359	970.239003
360	970.0557926
361	969.7749284
362	969.4810383
363	969.215967
364	968.8427028
365	968.5759283
366	968.1808478
367	967.8942477
368	967.6183524
369	967.292159
370	966.8950781
371	966.5394536
372	966.285292
373	966.0637109
374	965.7618649
375	965.4479887
376	965.1025202
377	964.8097223
378	964.4547375
379	964.2303028
380	964.034182
381	963.8602828
382	963.6060559
383	963.1682227
384	962.8555716
385	962.5543568
386	962.3306252
387	962.1803491
388	961.9931404
389	961.7765369
390	961.4188641
391	961.2088769
392	960.9823601
393	960.6278671
394	960.2835378
395	959.9581793
396	959.6759792
397	959.3325252
398	958.9281765
399	958.7334145
400	958.4604061
401	958.0912277
402	957.7669755
403	957.6164755
404	957.2352375
405	956.9215368
406	956.5398948
407	956.268907
408	956.1444108
409	955.9933431
410	955.7278438
411	955.5663593
412	955.1487813
413	954.7776115
414	954.4275879
415	954.1833518
416	953.8819905
417	953.578178
418	953.3571344
419	953.0740031
420	952.8435114
421	952.6471483
422	952.3070079
423	952.1502119
424	951.7554997
425	951.4268504
426	951.0656295
427	950.7615502
428	950.5288922
429	950.3944574
430	950.2243484
431	949.9842318
432	949.8416349
433	949.5042782
434	949.3058936
435	949.069082
436	948.9154841
437	948.6870553
438	948.4206675
439	948.3239871
440	947.965414
441	947.7114148
442	947.4729594
443	947.2269671
444	947.0932903
445	946.8054594
446	946.6064309
447	946.3877973
448	946.103734
449	945.7748699
450	945.4895779
451	945.3561884
452	945.1133292
453	944.973451
454	944.8509318
455	944.4887574
456	944.302131
457	943.9670633
458	943.7278511
459	943.484335
460	943.1168682
461	942.84105
462	942.6252575
463	942.4259236
464	942.2075224
465	941.9402277
466	941.7307531
467	941.4090209
468	941.109838
469	940.846883
470	940.5983315
471	940.469517
472	940.2561303
473	940.0529375
474	939.7763641
475	939.451291
476	939.2599428
477	939.0655826
478	938.7812353
479	938.679589
480	938.3746597
481	938.0920436
482	937.7919151
483	937.5492377
484	937.3473653
485	937.1598692
486	936.8385456
487	936.5661708
488	936.3549479
489	936.0825245
490	935.9678288
491	935.7740968
492	935.5842358
493	935.4674643
494	935.3791415
495	935.0940402
496	934.8963126
497	934.7269234
498	934.482454
499	934.2918832
500	934.2199714
501	933.9418037
502	933.7749229
503	933.61109
504	933.4157142
505	933.294899
506	932.9512001
507	932.6385357
508	932.3376274
509	932.2103738
510	931.9530605
511	931.6741623
512	931.5076415
513	931.2252403
514	930.9899154
515	930.8033171
516	930.4347514
517	930.0811301
518	929.9032942
519	929.5731792
520	929.3469175
521	929.2408033
522	928.9138459
523	928.7055078
524	928.511582
525	928.4053563
526	928.2109308
527	928.0318403
528	927.8438786
529	927.6996519
530	927.4539071
531	927.311634
532	927.0125464
533	926.7739419
534	926.5178126
535	926.2196751
536	925.9717894
537	925.6444897
538	925.4485193
539	925.1815059
540	925.0108908
541	924.7478288
542	924.4447565
543	924.1904691
544	923.9792892
545	923.7115882
546	923.4755184
547	923.2002268
548	923.0395055
549	922.7838601
550	922.6751944
551	922.3135431
552	922.0759562
553	921.9120771
554	921.7788078
555	921.5347087
556	921.3329086
557	921.0905859
558	920.8201747
559	920.6368887
560	920.4376833
561	920.2022765
562	920.0073496
563	919.7721988
564	919.5696417
565	919.4274283
566	919.2663901
567	919.0747638
568	918.7789541
569	918.4963384
570	918.200165
571	918.0634001
572	917.8939464
573	917.7280112
574	917.4501846
575	917.211364
576	916.9580646
577	916.7508037
578	916.4168477
579	916.2547561
580	916.0821081
581	915.9387765
582	915.6752889
583	915.4582177
584	915.2624986
585	915.0036828
586	914.7448349
587	914.5703203
588	914.4202978
589	914.2100809
590	913.9122008
591	913.7378002
592	913.5266615
593	913.372472
594	913.2389725
595	913.0311583
596	912.7014557
597	912.555508
598	912.3130532
599	912.1162945
600	911.9653728
601	911.7327585
602	911.5323084
603	911.283962
604	911.0725266
605	910.7977405
606	910.5088846
607	910.3126676
608	910.1926654
609	910.0142159
610	909.8426851
611	909.673792
612	909.5403791
613	909.3516139
614	909.2032988
615	909.0521274
616	908.9142786
617	908.6948564
618	908.4506863
619	908.3240463
620	908.2245272
621	907.9469179
622	907.7797067
623	907.6599556
624	907.4951114
625	907.2158124
626	907.0354352
627	906.8163863
628	906.6151942
629	906.3305766
630	906.0732736
631	905.8901903
632	905.7025197
633	905.5430994
634	905.403273
635	905.2530818
636	905.093986
637	904.9645153
638	904.7836448
639	904.5707748
640	904.2858175
641	904.1395362
642	903.8434517
643	903.687491
644	903.4369735
645	903.2095169
646	902.994794
647	902.7412621
648	902.570606
649	902.3434252
650	902.1632601
651	902.0405892
652	901.8801629
653	901.6753175
654	901.3764364
655	901.2121395
656	901.068826
657	900.8083515
658	900.639161
659	900.3920787
660	900.1947919
661	900.0530853
662	899.8990417
663	899.628434
664	899.4161714
665	899.1186275
666	898.9898598
667	898.9017996
668	898.7462579
669	898.558658
670	898.4242072
671	898.2484499
672	897.9443532
673	897.7844459
674	897.5494945
675	897.3750864
676	897.1854438
677	897.129392
678	897.0769543
679	896.819021
680	896.6768748
681	896.5172862
682	896.4222053
683	896.3104153
684	896.0462509
685	895.6008996
686	895.3200749
687	895.1458052
688	895.0258581
689	894.9158138
690	894.7501748
691	894.5820795
692	894.3507935
693	894.2305126
694	894.0244609
695	893.8917136
696	893.700177
697	893.4895254
698	893.3811301
699	893.2394186
700	893.0721532
701	892.8113576
702	892.6114864
703	892.4068351
704	892.2228645
705	892.0641607
706	891.7491817
707	891.5033926
708	891.289236
709	891.1885376
710	891.0869574
711	890.9771727
712	890.8542385
713	890.7152101
714	890.5365433
715	890.3750609
716	890.2199382
717	890.0757672
718	889.9515646
719	889.82884
720	889.6038412
721	889.4219758
722	889.2706921
723	888.9993797
724	888.8781634
