iter	Passed	Remaining
0	178	178002
1	201	100459
2	233	77492
3	266	66432
4	290	57886
5	316	52384
6	331	47006
7	339	42118
8	347	38298
9	357	35348
10	364	32758
11	371	30570
12	377	28687
13	384	27070
14	388	25536
15	395	24321
16	401	23206
17	407	22248
18	414	21394
19	422	20725
20	429	20032
21	435	19362
22	441	18759
23	446	18170
24	452	17636
25	458	17180
26	464	16727
27	470	16316
28	476	15940
29	481	15571
30	486	15219
31	492	14904
32	498	14616
33	504	14347
34	510	14075
35	516	13820
36	523	13637
37	529	13411
38	536	13213
39	542	13027
40	548	12832
41	557	12714
42	564	12567
43	571	12418
44	577	12262
45	583	12107
46	589	11945
47	595	11808
48	601	11681
49	608	11553
50	614	11432
51	620	11304
52	625	11180
53	631	11057
54	636	10936
55	642	10824
56	646	10703
57	652	10595
58	658	10505
59	663	10397
60	668	10294
61	673	10192
62	679	10100
63	684	10011
64	691	9944
65	696	9857
66	702	9781
67	707	9697
68	710	9589
69	715	9510
70	721	9439
71	726	9363
72	732	9295
73	737	9229
74	743	9165
75	748	9102
76	754	9042
77	762	9013
78	770	8978
79	777	8942
80	784	8899
81	800	8963
82	810	8956
83	817	8920
84	825	8888
85	832	8851
86	840	8819
87	847	8782
88	854	8749
89	861	8713
90	871	8703
91	877	8659
92	885	8632
93	891	8594
94	900	8582
95	908	8558
96	915	8526
97	924	8505
98	932	8488
99	939	8452
100	947	8437
101	955	8413
102	963	8386
103	970	8358
104	976	8322
105	984	8304
106	993	8292
107	1087	8978
108	1101	9003
109	1204	9745
110	1220	9771
111	1267	10050
112	1282	10065
113	1299	10097
114	1312	10101
115	1335	10178
116	1351	10199
117	1366	10217
118	1380	10222
119	1394	10227
120	1411	10255
121	1423	10246
122	1432	10215
123	1443	10197
124	1454	10183
125	1468	10186
126	1498	10298
127	1522	10369
128	1537	10380
129	1552	10388
130	1563	10372
131	1573	10348
132	1588	10354
133	1600	10343
134	1608	10308
135	1618	10284
136	1631	10276
137	1643	10263
138	1654	10248
139	1665	10232
140	1676	10212
141	1733	10475
142	1756	10527
143	1776	10562
144	1787	10543
145	1797	10515
146	1805	10479
147	1813	10437
148	1820	10397
149	1826	10352
150	1835	10322
151	1844	10291
152	1854	10265
153	1862	10232
154	1873	10214
155	1881	10178
156	1888	10142
157	1898	10116
158	1911	10111
159	1926	10116
160	1937	10096
161	1946	10069
162	1957	10051
163	1966	10023
164	1973	9984
165	1979	9945
166	1985	9906
167	1992	9868
168	1999	9829
169	2005	9789
170	2012	9757
171	2019	9722
172	2025	9684
173	2034	9655
174	2040	9618
175	2046	9582
176	2053	9548
177	2061	9518
178	2070	9497
179	2077	9466
180	2084	9432
181	2091	9401
182	2098	9368
183	2105	9335
184	2111	9302
185	2118	9269
186	2125	9240
187	2132	9210
188	2139	9178
189	2145	9148
190	2153	9120
191	2161	9096
192	2169	9069
193	2177	9047
194	2183	9014
195	2191	8990
196	2197	8957
197	2203	8925
198	2209	8891
199	2215	8863
200	2221	8832
201	2231	8814
202	2239	8790
203	2246	8766
204	2254	8742
205	2261	8716
206	2269	8695
207	2277	8671
208	2283	8642
209	2290	8614
210	2295	8585
211	2302	8559
212	2308	8530
213	2315	8503
214	2322	8478
215	2328	8453
216	2335	8427
217	2341	8400
218	2347	8371
219	2353	8343
220	2364	8335
221	2375	8323
222	2382	8302
223	2390	8280
224	2395	8252
225	2401	8223
226	2407	8196
227	2412	8168
228	2417	8138
229	2423	8112
230	2428	8084
231	2433	8055
232	2438	8028
233	2443	7999
234	2448	7971
235	2453	7943
236	2458	7915
237	2463	7888
238	2468	7860
239	2473	7832
240	2478	7805
241	2483	7780
242	2488	7752
243	2493	7726
244	2498	7700
245	2503	7673
246	2509	7651
